Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1992,.22,.14,.30,.10,.28,.26,-.16,.44,-.04,.20,.37,.20,.33,.35
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.28,.36,.26,.39,-.31
1994,.31,.37,.26,.43,.31,.20,.34,.50,.42,.28,.34,.26,.23,-.06
1995,.45,.58,.32,.70,.42,.22,1.31,.99,.32,.40,.45,.29,.15,.15
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.32,.32,.28,1.20
1997,.46,.52,.41,.53,.51,.33,.76,.90,.22,.49,.52,.42,.36,.01
1998,.61,.70,.52,.78,.69,.33,.86,.94,.66,.59,.79,.39,.31,.18
1999,.39,.48,.29,.70,.20,.31,.40,.80,.74,.15,.25,.46,.19,.05
2000,.39,.50,.29,.70,.24,.29,.97,.80,.55,.21,.28,.41,.10,.27
2001,.54,.64,.43,.80,.42,.43,1.07,.86,.68,.40,.44,.58,.24,.30
2002,.63,.71,.54,.83,.59,.47,1.26,1.00,.58,.55,.64,.49,.32,.74
2003,.62,.75,.50,.84,.64,.38,1.50,.98,.53,.61,.66,.44,.24,.45
2004,.54,.66,.42,.73,.55,.34,.47,.96,.66,.56,.54,.48,.23,.07
2005,.68,.86,.50,1.02,.62,.42,1.99,1.23,.57,.62,.62,.49,.18,.71
2006,.64,.82,.46,.99,.56,.40,1.74,1.06,.70,.56,.55,.51,.20,.44
2007,.66,.85,.46,1.13,.46,.45,2.12,1.32,.69,.44,.48,.50,.07,1.16
2008,.54,.68,.40,.92,.37,.39,1.55,1.08,.61,.33,.42,.52,.09,.56
2009,.66,.73,.59,.78,.68,.50,1.43,.60,.68,.65,.71,.60,.15,.91
2010,.72,.90,.54,1.03,.68,.47,2.22,.87,.74,.72,.65,.63,.20,.47
2011,.61,.74,.46,.99,.37,.54,2.35,.94,.58,.39,.35,.64,.18,.99
2012,.64,.81,.47,1.04,.53,.40,2.21,.93,.74,.48,.57,.56,.19,.27
2013,.68,.80,.56,.95,.58,.55,1.55,1.05,.69,.58,.58,.62,.23,.98
2014,.74,.92,.57,1.07,.67,.52,2.04,1.12,.73,.69,.65,.72,.18,.52
2015,.90,1.17,.63,1.31,.96,.40,1.99,1.47,1.00,.97,.94,.75,.18,-.35
2016,1.01,1.30,.73,1.55,1.01,.49,3.24,1.43,1.08,.95,1.07,.67,.26,.37
2017,.92,1.18,.67,1.39,.82,.59,2.51,1.37,1.04,.86,.77,.76,.35,.53
2018,.85,1.04,.66,1.25,.68,.68,2.15,1.09,1.06,.73,.63,.80,.38,.94
2019,.98,1.21,.75,1.42,.90,.65,2.70,1.44,1.00,.91,.90,.75,.39,.84
